name,position,points
Lamar Jackson,QB,33.56
Dak Prescott,QB,33.4
Deshaun Watson,QB,30.72
Matthew Stafford,QB,27.6
Patrick Mahomes,QB,27.32
Case Keenum,QB,27.2
Tom Brady,QB,25.64
Carson Wentz,QB,25.02
Marcus Mariota,QB,24.32
Philip Rivers,QB,23.92
Kyler Murray,QB,21.62
Drew Brees,QB,20.8
Andy Dalton,QB,20.72
Matt Ryan,QB,18.56
Gardner Minshew,QB,17.6
Russell Wilson,QB,16.64
Jacoby Brissett,QB,16.5
Josh Allen,QB,15.96
Eli Manning,QB,14.84
Joe Flacco,QB,14.82
Derek Carr,QB,14.56
Kirk Cousins,QB,14.32
Sam Darnold,QB,13
Aaron Rodgers,QB,12.92
Jimmy Garoppolo,QB,10.44
Christian McCaffrey,RB,42.9
Austin Ekeler,RB,39.4
Derrick Henry,RB,28.9
Dalvin Cook,RB,26
David Johnson,RB,25.7
Marlon Mack,RB,25.4
Josh Jacobs,RB,24.3
Chris Carson,RB,24.1
Alvin Kamara,RB,23.9
Le'Veon Bell,RB,23.2
Mark Ingram,RB,22.7
Damien Williams,RB,18.5
Saquon Barkley,RB,17.9
Malcolm Brown,RB,17.3
Devin Singletary,RB,14.8
Chris Thompson,RB,14.8
Rex Burkhead,RB,13.5
Ezekiel Elliott,RB,13.3
James White,RB,13.2
Wayne Gallman,RB,13.1
Duke Johnson,RB,13
Tarik Cohen,RB,12.9
Latavius Murray,RB,12.7
Nick Chubb,RB,11.5
Leonard Fournette,RB,11.4
Sammy Watkins,WR,46.8
DeSean Jackson,WR,35.4
John Ross,WR,34.8
DeAndre Hopkins,WR,31.1
Marquise Brown,WR,30.7
T.Y. Hilton,WR,28.7
Keenan Allen,WR,26.3
Phillip Dorsett,WR,25.5
John Brown,WR,25.3
Larry Fitzgerald,WR,25.3
D.J. Chark,WR,24.6
Jamison Crowder,WR,24.3
Terry McLaurin,WR,23.5
Danny Amendola,WR,23.4
Michael Gallup,WR,22.8
Amari Cooper,WR,22.6
Tyrell Williams,WR,22.5
Michael Thomas,WR,22.3
Alshon Jeffery,WR,22.1
Chris Conley,WR,21.7
Emmanuel Sanders,WR,19.6
Courtland Sutton,WR,19
Allen Robinson,WR,17.2
Ted Ginn,WR,17.1
Randall Cobb,WR,16.9